Category,Sex,Product,Color,Subcategory,Reference,Price,Image,Link
maentel,damen,LANGER WENDEMANTEL MIT DOPPELTEM GESICHT,Braun,langer,410888372,89.95,https://static.zara.net/assets/public/a9e5/f05b/9f7647d08b57/5a6cfaab7d47/06318262737-015-a2/06318262737-015-a2.jpg?ts=1728637857778&w=104&f=auto,https://www.zara.com/de/de/langer-wendemantel-mit-doppeltem-gesicht-p06318262.html
maentel,damen,LANGER WENDEMANTEL MIT DOPPELTEM GESICHT,Braun,langer,410774601,89.95,https://static.zara.net/assets/public/0a65/b2f2/81834c4d8acb/ff53516112c7/06318262737-001-a1/06318262737-001-a1.jpg?ts=1728562973232&w=104&f=auto,https://www.zara.com/de/de/langer-wendemantel-mit-doppeltem-gesicht-p06318262.html
maentel,damen,LANGER WENDEMANTEL MIT DOPPELTEM GESICHT,Braun,langer,410888372,89.95,https://static.zara.net/assets/public/fe16/c550/3f6b42638843/4aebdbaf965a/06318262737-e1/06318262737-e1.jpg?ts=1728471283677&w=104&f=auto,https://www.zara.com/de/de/langer-wendemantel-mit-doppeltem-gesicht-p06318262.html
maentel,damen,LANGER WENDEMANTEL MIT DOPPELTEM GESICHT,Braun,langer,410888372,89.95,https://static.zara.net/assets/public/868d/7cee/2f93487aa882/426128d37564/06318262737-e3/06318262737-e3.jpg?ts=1728471203974&w=104&f=auto,https://www.zara.com/de/de/langer-wendemantel-mit-doppeltem-gesicht-p06318262.html
maentel,damen,STRICKMANTEL MIT AUFGESETZTEN TASCHEN,Grau,strickmantel,385398845,69.95,https://static.zara.net/assets/public/0aa6/a50e/3d70493db62d/16ec364c00ce/05755125803-a1/05755125803-a1.jpg?ts=1728311327924&w=104&f=auto,https://www.zara.com/de/de/strickmantel-mit-aufgesetzten-taschen-p05755125.html
maentel,damen,KURZER WOLLMANTEL MIT SCHAL,Schwarz,kurzer,387663993,69.95,https://static.zara.net/assets/public/3483/6389/d9724de2b1a0/6a4d00cc0757/06318241800-a3/06318241800-a3.jpg?ts=1728586439092&w=104&f=auto,https://www.zara.com/de/de/kurzer-wollmantel-mit-schal-p06318241.html
maentel,damen,LANGER MANTEL AUS WOLLMISCHGEWEBE MIT GÜRTEL,Braun,langer,409941616,119.0,https://static.zara.net/assets/public/c7e2/963a/7cd44c5a896e/b8c84d7d3207/09174298704-a3/09174298704-a3.jpg?ts=1728549245434&w=104&f=auto,https://www.zara.com/de/de/langer-mantel-aus-wollmischgewebe-mit-gurtel-p09174141.html
maentel,damen,DOPPELREIHIGER MANTEL AUS WOLLMISCHGEWEBE,Grau,doppelreihiger,386496701,99.95,https://static.zara.net/assets/public/f5ef/e425/d51d4787932c/0d45c3e08435/04070223922-p/04070223922-p.jpg?ts=1728633764167&w=104&f=auto,https://www.zara.com/de/de/doppelreihiger-mantel-aus-wollmischgewebe-p04070223.html
maentel,damen,BOUCLÉ-MANTEL,Creme,boucle,387663999,69.95,https://static.zara.net/assets/public/6324/9789/4590488697eb/2891a82bee02/08073257712-p/08073257712-p.jpg?ts=1728633760558&w=104&f=auto,https://www.zara.com/de/de/boucle-mantel-p08073257.html
maentel,damen,MANTEL AUS KUNSTFELL,Creme,mantel,366446944,69.95,https://static.zara.net/assets/public/e108/b860/e5cc452ebe42/4ff6859982f6/04391855251-a1/04391855251-a1.jpg?ts=1728549402413&w=104&f=auto,https://www.zara.com/de/de/mantel-aus-kunstfell-p04391855.html
maentel,damen,DOPPELREIHIGER OVERSIZE-MANTEL MIT WOLLANTEIL,Schwarz,doppelreihiger,387673017,89.95,https://static.zara.net/assets/public/c85e/6bd3/49e145b8b478/2ca20be0dd5c/08073265800-a1/08073265800-a1.jpg?ts=1728644825294&w=104&f=auto,https://www.zara.com/de/de/doppelreihiger-oversize-mantel-mit-wollanteil-p08073265.html
maentel,damen,GESTICKTE STEPPJACKE,Braun,gestickte,384829237,59.95,https://static.zara.net/assets/public/d33a/a479/2c004b1ca811/5a43a4e1dc52/06318228704-p/06318228704-p.jpg?ts=1728633758457&w=104&f=auto,https://www.zara.com/de/de/gestickte-steppjacke-p06318228.html
maentel,damen,MANTEL AUS WOLLMISCHGEWEBE ZW COLLECTION,Rosa,mantel,402367554,119.0,https://static.zara.net/assets/public/7255/4505/26294ccdab9e/cc5481a7fdb6/09356724621-a2/09356724621-a2.jpg?ts=1728472551334&w=104&f=auto,https://www.zara.com/de/de/mantel-aus-wollmischgewebe-zw-collection-p09356724.html
maentel,damen,LANGER MANTEL AUS LEDER 100 %  ZW COLLECTION,Schwarz,langer,395477139,599.0,https://static.zara.net/assets/public/2355/6a2a/71a64d9aafe2/9a9a778e8a4f/03322246800-a6/03322246800-a6.jpg?ts=1728981206381&w=104&f=auto,https://www.zara.com/de/de/langer-mantel-aus-leder-100%C2%A0-zw-collection-p03322246.html
maentel,damen,GESTEPPTER ANORAK MIT RIPPBÜNDCHEN,Schwarz,gesteppter,385398860,69.95,https://static.zara.net/assets/public/0911/1d3b/18a140b68b50/b7681b68bc8c/03046240800-p/03046240800-p.jpg?ts=1728633760679&w=104&f=auto,https://www.zara.com/de/de/gesteppter-anorak-mit-rippbundchen-p03046240.html
maentel,damen,MANTEL AUS KUNSTFELL,Creme,mantel,410802889,69.95,https://static.zara.net/assets/public/c8de/7f1f/9fbd4c1e9afc/17987422252c/04391855251-1-a1/04391855251-1-a1.jpg?ts=1728571726971&w=104&f=auto,https://www.zara.com/de/de/mantel-aus-kunstfell-p04391855.html
maentel,damen,KURZER MANTEL AUS KUNSTFELL MIT KNEBELKNÖPFEN,Braun,kurzer,410802891,59.95,https://static.zara.net/assets/public/75f1/e3de/f47f46ad940d/925e9c7d652c/04391854716-001-a1/04391854716-001-a1.jpg?ts=1728571690998&w=104&f=auto,https://www.zara.com/de/de/kurzer-mantel-aus-kunstfell-mit-knebelknopfen-p04391854.html
maentel,damen,GESTEPPTER ANORAK – WATER REPELLENT,Creme,gesteppter,410821747,49.95,https://static.zara.net/assets/public/007e/0fa2/8e2148ba8ce8/726fd2496296/04749747712-a2/04749747712-a2.jpg?ts=1728383899391&w=104&f=auto,https://www.zara.com/de/de/gesteppter-anorak-%E2%80%93-water-repellent-p04391747.html
maentel,damen,MANTEL MIT ANIMAL-PRINT AUS KUNSTFELL,Leopardenmuster,mantel,366446932,79.95,https://static.zara.net/assets/public/a3ac/ef2b/5d6d4c36802e/c104e572c1cf/01255771051-a4/01255771051-a4.jpg?ts=1728640903496&w=104&f=auto,https://www.zara.com/de/de/mantel-mit-animal-print-aus-kunstfell-p01255771.html
maentel,damen,OVERSIZE-MANTEL SOFT,Grau,oversize,386503409,69.95,https://static.zara.net/assets/public/151f/76cf/ba6d44939e5b/a8227245d065/03046299802-a2/03046299802-a2.jpg?ts=1726762519444&w=104&f=auto,https://www.zara.com/de/de/oversize-mantel-soft-p03046299.html
maentel,damen,MANTEL AUS WOLLMISCHGEWEBE MIT GÜRTEL,Braun,mantel,386523120,99.95,https://static.zara.net/assets/public/8b55/7eac/5a4b45868621/5a66cb0c21cd/06318240706-a4/06318240706-a4.jpg?ts=1728399735828&w=104&f=auto,https://www.zara.com/de/de/mantel-aus-wollmischgewebe-mit-gurtel-p06318240.html
maentel,damen,DOUBLEFACE-MANTEL IN DREIVIERTEL-LÄNGE,Braun,doubleface,386517397,69.95,https://static.zara.net/assets/public/2613/cab6/857447209f9c/24f90489fa41/06318252704-a2/06318252704-a2.jpg?ts=1728399739278&w=104&f=auto,https://www.zara.com/de/de/doubleface-mantel-in-dreiviertel-lange-p06318252.html
maentel,damen,DOUBLEFACE-MANTEL IN DREIVIERTEL-LÄNGE,Braun,doubleface,410234224,69.95,https://static.zara.net/assets/public/fee1/2e7a/85694535bb02/f3c5eeb3e651/06318252704-015-p/06318252704-015-p.jpg?ts=1728464438625&w=104&f=auto,https://www.zara.com/de/de/doubleface-mantel-in-dreiviertel-lange-p06318252.html
maentel,damen,DOPPELREIHIGER KURZMANTEL,Braun,doppelreihiger,387663995,49.95,https://static.zara.net/assets/public/e247/93f2/713a4faa96f3/df0b54476946/08372289706-a2/08372289706-a2.jpg?ts=1727359200460&w=104&f=auto,https://www.zara.com/de/de/doppelreihiger-kurzmantel-p08372289.html
maentel,damen,WEICHER MANTEL,Braun,weicher,387673041,59.95,https://static.zara.net/assets/public/2757/3220/26dc4f339691/be8a5c6d4e7a/08372304704-p/08372304704-p.jpg?ts=1726762512045&w=104&f=auto,https://www.zara.com/de/de/weicher-mantel-p08372304.html
maentel,damen,FISCHGRÄTENMANTEL MIT LÄSSIGER SCHULTERPARTIE,Schwarz,fischgratenmantel,397279633,69.95,https://static.zara.net/assets/public/2a7d/2660/d6ef47949032/9a37012ed9dc/09095988093-p/09095988093-p.jpg?ts=1726762514445&w=104&f=auto,https://www.zara.com/de/de/fischgratenmantel-mit-lassiger-schulterpartie-p09095988.html
maentel,damen,DOUBLEFACE-JACKE MIT SCHLAUFEN AM SAUM,Braun,doubleface,387663958,79.95,https://static.zara.net/assets/public/c021/ede1/6e204a3caed6/3930437cd658/08073273706-p/08073273706-p.jpg?ts=1727812388681&w=104&f=auto,https://www.zara.com/de/de/doubleface-jacke-mit-schlaufen-am-saum-p08073273.html
maentel,damen,DOUBLEFACE-JACKE AUS LAMMFELLIMITAT,Creme,doubleface,383839114,69.95,https://static.zara.net/assets/public/b2b8/95dc/f7c54d6aad74/bbe689e9e350/06318267712-a2/06318267712-a2.jpg?ts=1727800107746&w=104&f=auto,https://www.zara.com/de/de/doubleface-jacke-aus-lammfellimitat-p06318267.html
maentel,damen,DOPPELREIHIGER MANTEL AUS WOLLMISCHGEWEBE,Schwarz,doppelreihiger,386503407,89.95,https://static.zara.net/assets/public/f83a/45f0/d947481e9204/59cf763dd24f/04070222800-a1/04070222800-a1.jpg?ts=1727876780148&w=104&f=auto,https://www.zara.com/de/de/doppelreihiger-mantel-aus-wollmischgewebe-p04070222.html
maentel,damen,WENDIGE JACKE ZW COLLECTION,Braun,wendige,364102364,89.95,https://static.zara.net/assets/public/2713/16c5/4b7649ef8296/2941a0291ae5/03548040700-p/03548040700-p.jpg?ts=1725547852598&w=104&f=auto,https://www.zara.com/de/de/wendige-jacke-zw-collection-p03548040.html
maentel,damen,WENDIGE JACKE ZW COLLECTION,Braun,wendige,369239704,89.95,https://static.zara.net/assets/public/d2e8/68b2/d8eb433f8369/9405edd004a0/03548246087-a2/03548246087-a2.jpg?ts=1727280517365&w=104&f=auto,https://www.zara.com/de/de/wendige-jacke-zw-collection-p03548246.html
maentel,damen,WEICHER MANTEL,Braun,weicher,387673002,49.95,https://static.zara.net/assets/public/dc84/89ef/423742f79311/a7a34ab5fd88/08073260704-a2/08073260704-a2.jpg?ts=1726229236241&w=104&f=auto,https://www.zara.com/de/de/weicher-mantel-p08073259.html
maentel,damen,WASSERABWEISENDER TRENCHCOAT MIDI MIT GÜRTEL,Schwarz,wasserabweisender,379789309,69.95,https://static.zara.net/assets/public/e5e2/b991/42b34d509d45/a477b1139759/08073251800-a2/08073251800-a2.jpg?ts=1725981839773&w=104&f=auto,https://www.zara.com/de/de/wasserabweisender-trenchcoat-midi-mit-gurtel-p08073251.html
maentel,damen,LANGE DOUBLEFACE-JACKE,Braun,lange,387673038,79.95,https://static.zara.net/assets/public/5075/c8ec/bfe14d88a5cc/6e57a792cfe8/08073263716-p/08073263716-p.jpg?ts=1726831599623&w=104&f=auto,https://www.zara.com/de/de/lange-doubleface-jacke-p08073263.html
maentel,damen,JACKE AUS LAMMFELLIMITAT,Creme,jacke,385881969,49.95,https://static.zara.net/assets/public/fc8d/7fda/e61543e38d66/d563c0c66d81/08372250712-p/08372250712-p.jpg?ts=1727370676708&w=104&f=auto,https://www.zara.com/de/de/jacke-aus-lammfellimitat-p08372250.html
maentel,damen,JACKE AUS LAMMFELLIMITAT,Schwarz,jacke,385881970,49.95,https://static.zara.net/assets/public/7ee9/6338/eece4a4dafa1/be2b597b7e5d/08372250800-a2/08372250800-a2.jpg?ts=1727370679866&w=104&f=auto,https://www.zara.com/de/de/jacke-aus-lammfellimitat-p08372250.html
maentel,damen,KURZE DOUBLEFACE-JACKE,Braun,kurze,405581400,69.95,https://static.zara.net/assets/public/912a/0dc2/d54d4b18af16/b244ba82f6bb/08073254706-a1/08073254706-a1.jpg?ts=1726129124540&w=104&f=auto,https://www.zara.com/de/de/kurze-doubleface-jacke-p08073254.html
maentel,damen,DOUBLEFACE-JACKE MIT RIB-SAUM,Braun,doubleface,386978711,69.95,https://static.zara.net/assets/public/2f4a/8f95/51b545d7bbd3/999d7bd2b4bc/06318268704-a2/06318268704-a2.jpg?ts=1727359197858&w=104&f=auto,https://www.zara.com/de/de/doubleface-jacke-mit-rib-saum-p06318268.html
maentel,damen,OVERSIZE-MANTEL SOFT,Schwarz,oversize,405295867,69.95,https://static.zara.net/assets/public/2b4d/8a43/3397452e8749/262e89685b44/03046299800-1-p/03046299800-1-p.jpg?ts=1726564303937&w=104&f=auto,https://www.zara.com/de/de/oversize-mantel-soft-p03046299.html
maentel,damen,OVERSIZE-MANTEL SOFT,Schwarz,oversize,386503408,69.95,https://static.zara.net/assets/public/692d/c4ea/b74e45fd94fe/81e091562e35/03046299800-p/03046299800-p.jpg?ts=1726564310394&w=104&f=auto,https://www.zara.com/de/de/oversize-mantel-soft-p03046299.html
maentel,damen,OVERSIZE-MANTEL SOFT,Beige,oversize,386503410,69.95,https://static.zara.net/assets/public/9f0e/c395/31364baa9035/c148afdf6b4f/03046299450-a1/03046299450-a1.jpg?ts=1726573527327&w=104&f=auto,https://www.zara.com/de/de/oversize-mantel-soft-p03046299.html
maentel,damen,MANTEL AUS KUNSTFELL,Grau,mantel,386517361,59.95,https://static.zara.net/assets/public/b313/8cb7/2d9140a8a62b/3fbc312e6051/06318246802-p/06318246802-p.jpg?ts=1727274220713&w=104&f=auto,https://www.zara.com/de/de/mantel-aus-kunstfell-p06318246.html
maentel,damen,WATIERTER WINDSCHUTZ-ANORAK MIT KAPUZE,Creme,watierter,385393254,69.95,https://static.zara.net/assets/public/59c4/12e0/7a974a36a66e/b3ef238837ea/03046225712-p/03046225712-p.jpg?ts=1727876785560&w=104&f=auto,https://www.zara.com/de/de/watierter-windschutz-anorak-mit-kapuze-p03046225.html
maentel,damen,WATIERTER WINDSCHUTZ-ANORAK MIT KAPUZE,Grün,watierter,385393256,69.95,https://static.zara.net/assets/public/4f04/96ad/af204b16bee2/cac7d5f6cd1c/03046225505-e1/03046225505-e1.jpg?ts=1727358379112&w=104&f=auto,https://www.zara.com/de/de/watierter-windschutz-anorak-mit-kapuze-p03046225.html
maentel,damen,WATIERTER WINDSCHUTZ-ANORAK MIT KAPUZE,Schwarz,watierter,385393255,69.95,https://static.zara.net/assets/public/9528/0350/d9eb46e88fa0/10b9cbab139a/03046225800-e1/03046225800-e1.jpg?ts=1728570880705&w=104&f=auto,https://www.zara.com/de/de/watierter-windschutz-anorak-mit-kapuze-p03046225.html
maentel,damen,ZWEIREIHIGER BOUCLÉ-MANTEL,Blau,zweireihiger,385964080,59.95,https://static.zara.net/assets/public/e208/f06a/8a0f4b2e9763/857e4d237471/03046296401-p/03046296401-p.jpg?ts=1727866462559&w=104&f=auto,https://www.zara.com/de/de/zweireihiger-boucle-mantel-p03046296.html
maentel,damen,ZWEIREIHIGER BOUCLÉ-MANTEL,Creme,zweireihiger,385964081,59.95,https://static.zara.net/assets/public/4228/918a/17e84bf79a67/8e5567cfba0e/03046296712-a1/03046296712-a1.jpg?ts=1727866472958&w=104&f=auto,https://www.zara.com/de/de/zweireihiger-boucle-mantel-p03046296.html
maentel,damen,MANTEL AUS WOLLMISCHGEWEBE MIT GÜRTEL,Schwarz,mantel,386523119,99.95,https://static.zara.net/assets/public/968e/659f/c93749fa8898/1522f3b44ff0/06318240800-a1/06318240800-a1.jpg?ts=1727965666048&w=104&f=auto,https://www.zara.com/de/de/mantel-aus-wollmischgewebe-mit-gurtel-p06318240.html
maentel,damen,BIKERJACKE AUS LAMMFELLIMITAT ZW COLLECTION,Creme,bikerjacke,407573358,89.95,https://static.zara.net/assets/public/764c/b681/f4b149c0bcc6/f45f900587c5/03548247712-017-a5/03548247712-017-a5.jpg?ts=1727774795889&w=104&f=auto,https://www.zara.com/de/de/bikerjacke-aus-lammfellimitat-zw-collection-p03548247.html
maentel,damen,LANGER MANTEL AUS WOLLMISCHGEWEBE MIT GÜRTEL,Schwarz,langer,398033634,119.0,https://static.zara.net/assets/public/5500/2bf3/9ba04a22823a/4417b4d0014e/09174141800-a1/09174141800-a1.jpg?ts=1727440099853&w=104&f=auto,https://www.zara.com/de/de/langer-mantel-aus-wollmischgewebe-mit-gurtel-p09174141.html
maentel,damen,LANGER TRENCHCOAT MIT GÜRTEL,Grün,langer,408558744,69.95,https://static.zara.net/assets/public/5b19/6236/245d43b3a9d2/e01f9506213e/08372287505-016-a1/08372287505-016-a1.jpg?ts=1727796967229&w=104&f=auto,https://www.zara.com/de/de/langer-trenchcoat-mit-gurtel-p08372287.html
maentel,damen,DOUBLEFACE-JACKE MIT KAPUZE ZW COLLECTION,Braun,doubleface,406019740,89.95,https://static.zara.net/assets/public/70a3/05ff/cc7a4838a27f/40e7b45a785e/03548041737-001-p/03548041737-001-p.jpg?ts=1726762355896&w=104&f=auto,https://www.zara.com/de/de/doubleface-jacke-mit-kapuze-zw-collection-p03548041.html
maentel,damen,WASSERABWEISENDE STEPPJACKE,Grün,wasserabweisende,372173914,49.95,https://static.zara.net/assets/public/62af/af08/6f394c74abd6/84ad211dd739/05854222506-p/05854222506-p.jpg?ts=1724416430526&w=104&f=auto,https://www.zara.com/de/de/wasserabweisende-steppjacke-p05854222.html
